Word,Wordgroup,M16,M17,M18,M19,M20,M21,M22,M23,M24,M25,M26,M27,M28,M29,M30
taste,Action Words,5.1,0,6.2,8.2,4.3,13.9,20.8,23.5,23.4,21.3,43.6,48.1,41.4,56.7,72.9
who,Question Words,7.7,3,1.3,9.6,7.4,9.7,13.9,29.4,25.2,30.7,42.3,54.3,48.3,53.3,72.9
and,Connecting Words,7.7,3,2.5,8.2,9.6,9.7,20.8,37.6,31.8,38.7,48.7,58,51.7,60,72.9
mad,Descriptive Words,5.1,1.5,0,5.5,4.3,15.3,16.7,27.1,20.6,40,38.5,49.4,44.8,51.7,72.9
aunt,People,7.7,9.1,18.8,20.5,28.7,30.6,34.7,43.5,50.5,56,61.5,66.7,70.7,70,72.9
shoulder,Body Parts,5.1,0,3.7,11,10.6,22.2,27.8,31.8,36.4,42.7,47.4,51.9,44.8,56.7,72.9
lawn mower,Outside Things,9,4.5,13.8,20.5,24.5,30.6,31.9,50.6,41.1,54.7,59,69.1,56.9,63.3,72.9
hard,Descriptive Words,3.8,1.5,2.5,8.2,10.6,9.7,15.3,21.2,29.9,34.7,42.3,45.7,53.4,53.3,71.4
sleepy,Descriptive Words,5.1,4.5,13.8,12.3,18.1,31.9,31.9,40,43,45.3,55.1,56.8,60.3,58.3,71.4
trash,Small Household Items,9,6.1,11.3,27.4,13.8,30.6,31.9,27.1,41.1,30.7,48.7,50.6,44.8,55,71.4
so big,Games and Routines,19.2,9.1,15,17.8,23.4,41.7,29.2,41.2,43,57.3,55.1,51.9,48.3,65,71.4
zebra,Animals (Real or Toy),9,10.6,8.8,17.8,24.5,19.4,33.3,41.2,38.3,45.3,60.3,61.7,53.4,60,71.4
say,Action Words,6.4,6.1,6.2,6.8,9.6,13.9,23.6,28.2,26.2,40,42.3,53.1,48.3,56.7,71.4
brown,Descriptive Words,2.6,3,5,11,6.4,13.9,20.8,32.9,31.8,36,41,44.4,41.4,46.7,71.4
