Word,Wordgroup,M16,M17,M18,M19,M20,M21,M22,M23,M24,M25,M26,M27,M28,M29,M30
potato chip,Food and Drink,15.4,12.1,15,31.5,30.9,43.1,45.8,57.6,58.9,68,70.5,80.2,74.1,81.7,91.4
box,Small Household Items,20.5,19.7,23.8,43.8,43.6,48.6,58.3,64.7,57,73.3,73.1,87.7,77.6,83.3,91.4
comb,Small Household Items,15.4,10.6,16.3,32.9,40.4,37.5,48.6,60,49.5,66.7,75.6,67.9,74.1,81.7,91.4
lunch,Games and Routines,14.1,7.6,10,26,33,40.3,33.3,56.5,57,69.3,67.9,76.5,82.8,81.7,91.4
butter,Food and Drink,11.5,6.1,13.8,21.9,26.6,47.2,51.4,65.9,57,65.3,67.9,86.4,79.3,86.7,91.4
like,Action Words,10.3,0,5,16.4,9.6,16.7,23.6,41.2,38.3,53.3,55.1,69.1,69,76.7,91.4
coat,Clothing,11.5,16.7,21.3,42.5,45.7,52.8,63.9,82.4,60.7,65.3,64.1,80.2,77.6,73.3,91.4
mine,Pronouns,29.5,43.9,38.7,54.8,68.1,75,72.2,82.4,87.9,90.7,87.2,90.1,94.8,90,91.4
refrigerator,Furniture and Rooms,10.3,3,8.8,20.5,19.1,22.2,34.7,40,42.1,56,67.9,70.4,67.2,85,91.4
quack..,Sound Effects and Animal Sounds,50,48.5,57.5,58.9,66,68.1,76.4,89.4,86,88,88.5,86.4,87.9,81.7,90
breakfast,Games and Routines,16.7,10.6,15,27.4,34,41.7,44.4,61.2,51.4,68,70.5,75.3,81,81.7,90
hamburger,Food and Drink,9,9.1,13.8,34.2,26.6,36.1,45.8,65.9,57.9,65.3,74.4,86.4,86.2,88.3,90
ride,Action Words,7.7,12.1,8.8,32.9,27.7,41.7,54.2,67.1,58.9,69.3,79.5,80.2,79.3,78.3,90
shower,Furniture and Rooms,12.8,7.6,11.3,38.4,35.1,41.7,50,61.2,58.9,68,75.6,79,75.9,83.3,90
school,Places to Go,9,6.1,8.8,20.5,35.1,29.2,45.8,57.6,53.3,62.7,65.4,72.8,81,83.3,90
frog,Animals (Real or Toy),14.1,12.1,25,42.5,44.7,47.2,55.6,64.7,63.6,76,75.6,75.3,84.5,81.7,90
noodles,Food and Drink,19.2,10.6,12.5,30.1,40.4,43.1,50,54.1,57.9,56,60.3,75.3,70.7,71.7,90
tickle,Action Words,11.5,16.7,27.5,26,33,40.3,51.4,67.1,64.5,65.3,64.1,74.1,74.1,78.3,90
room,Furniture and Rooms,10.3,6.1,8.8,20.5,22.3,31.9,36.1,51.8,46.7,62.7,67.9,72.8,72.4,76.7,90
slide,Outside Things,9,13.6,12.5,42.5,38.3,48.6,54.2,64.7,61.7,73.3,71.8,75.3,79.3,80,90
doll,Toys,24.4,30.3,36.2,47.9,53.2,55.6,63.9,71.8,74.8,76,74.4,76.5,87.9,85,90
pancake,Food and Drink,11.5,6.1,12.5,30.1,26.6,33.3,37.5,55.3,50.5,65.3,62.8,77.8,69,75,90
throw,Action Words,9,6.1,13.8,17.8,20.2,33.3,45.8,56.5,48.6,62.7,67.9,77.8,77.6,78.3,90
pajamas,Clothing,10.3,7.6,21.3,34.2,40.4,44.4,45.8,70.6,61.7,76,71.8,77.8,89.7,88.3,90
bee,Animals (Real or Toy),24.4,30.3,36.2,49.3,55.3,47.2,61.1,80,72.9,74.7,78.2,88.9,86.2,83.3,90
turtle,Animals (Real or Toy),17.9,13.6,18.8,39.7,40.4,38.9,44.4,62.4,58.9,70.7,65.4,70.4,74.1,83.3,90
drive,Action Words,10.3,3,8.8,20.5,18.1,27.8,40.3,61.2,54.2,60,65.4,77.8,74.1,80,90
puzzle,Toys,11.5,3,15,21.9,21.3,25,45.8,43.5,52.3,65.3,65.4,77.8,75.9,78.3,90
kick,Action Words,11.5,4.5,10,26,20.2,36.1,40.3,51.8,48.6,52,61.5,74.1,69,73.3,90
corn,Food and Drink,10.3,6.1,16.3,26,35.1,45.8,48.6,60,57,61.3,69.2,81.5,79.3,83.3,90
plate,Small Household Items,11.5,4.5,13.8,19.2,24.5,36.1,41.7,60,57.9,64,59,72.8,65.5,73.3,90
tissue,Small Household Items,10.3,6.1,11.3,21.9,25.5,40.3,37.5,45.9,50.5,57.3,66.7,65.4,67.2,71.7,90
man,People,14.1,9.1,13.8,30.1,40.4,40.3,52.8,61.2,58.9,61.3,66.7,80.2,77.6,71.7,88.6
carrots,Food and Drink,11.5,10.6,18.8,24.7,29.8,41.7,43.1,51.8,54.2,60,71.8,74.1,75.9,81.7,88.6
jelly,Food and Drink,6.4,4.5,7.5,19.2,20.2,22.2,33.3,40,42.1,56,46.2,66.7,65.5,70,88.6
see,Action Words,17.9,18.2,26.3,42.5,44.7,56.9,50,71.8,63.6,84,78.2,75.3,81,90,88.6
work (action),Action Words,9,4.5,13.8,21.9,35.1,31.9,41.7,63.5,51.4,66.7,75.6,84,69,78.3,88.6
orange (desc),Descriptive Words,7.7,6.1,7.5,27.4,28.7,33.3,40.3,54.1,49.5,54.7,66.7,74.1,62.1,76.7,88.6
scissors,Small Household Items,11.5,1.5,5,19.2,13.8,27.8,30.6,43.5,39.3,54.7,62.8,66.7,79.3,71.7,88.6
closet,Furniture and Rooms,7.7,1.5,7.5,11,14.9,16.7,30.6,31.8,36.4,42.7,52.6,63,65.5,70,88.6
stick,Outside Things,12.8,7.6,15,24.7,24.5,31.9,41.7,52.9,46.7,52,66.7,76.5,77.6,71.7,88.6
beach,Places to Go,11.5,9.1,12.5,27.4,37.2,29.2,38.9,51.8,45.8,64,56.4,72.8,51.7,75,88.6
swim,Action Words,9,10.6,15,21.9,23.4,27.8,45.8,62.4,55.1,62.7,64.1,72.8,67.2,81.7,88.6
asleep,Descriptive Words,11.5,4.5,8.8,21.9,28.7,27.8,44.4,47.1,47.7,57.3,62.8,56.8,70.7,78.3,88.6
camera,Small Household Items,11.5,1.5,7.5,15.1,18.1,26.4,34.7,40,43.9,52,56.4,71.6,65.5,73.3,88.6
coffee,Food and Drink,12.8,10.6,15,30.1,27.7,37.5,50,63.5,52.3,68,60.3,76.5,81,78.3,88.6
bib,Clothing,15.4,21.2,28.8,41.1,46.8,51.4,58.3,70.6,61.7,76,70.5,71.6,82.8,70,88.6
dry (desc),Descriptive Words,10.3,6.1,5,6.8,16,23.6,30.6,47.1,39.3,54.7,56.4,63,56.9,70,88.6
I,Pronouns,11.5,12.1,22.5,24.7,29.8,43.1,51.4,55.3,47.7,65.3,61.5,66.7,67.2,76.7,88.6
sky,Outside Things,12.8,15.2,15,24.7,38.3,44.4,47.2,55.3,49.5,58.7,61.5,75.3,74.1,70,88.6
shopping,Games and Routines,12.8,4.5,8.8,21.9,19.1,34.7,34.7,48.2,51.4,56,59,67.9,75.9,75,88.6
chocolate,Food and Drink,11.5,3,8.8,12.3,18.1,26.4,38.9,41.2,41.1,49.3,55.1,72.8,70.7,73.3,88.6
spill,Action Words,7.7,1.5,3.7,9.6,13.8,26.4,26.4,36.5,36.4,42.7,60.3,59.3,60.3,73.3,88.6
hurt,Descriptive Words,11.5,6.1,13.8,23.3,27.7,31.9,41.7,49.4,56.1,60,70.5,71.6,74.1,76.7,88.6
clock,Small Household Items,21.8,22.7,31.3,42.5,51.1,48.6,54.2,65.9,56.1,74.7,70.5,82.7,77.6,81.7,88.6
touch,Action Words,7.7,3,8.8,17.8,14.9,20.8,27.8,31.8,35.5,42.7,55.1,60.5,67.2,68.3,87.1
sweater,Clothing,10.3,3,7.5,20.5,21.3,23.6,38.9,44.7,44.9,46.7,62.8,65.4,67.2,71.7,87.1
lips,Body Parts,10.3,6.1,5,17.8,19.1,33.3,34.7,44.7,38.3,60,61.5,67.9,65.5,76.7,87.1
red,Descriptive Words,9,10.6,12.5,15.1,25.5,30.6,45.8,54.1,54.2,60,69.2,69.1,65.5,75,87.1
glasses,Small Household Items,15.4,16.7,22.5,35.6,27.7,47.2,44.4,65.9,58.9,74.7,74.4,76.5,75.9,81.7,87.1
park,Places to Go,10.3,10.6,12.5,27.4,31.9,43.1,47.2,54.1,59.8,66.7,73.1,77.8,65.5,78.3,87.1
clean(action),Action Words,7.7,6.1,6.2,20.5,30.9,29.2,45.8,57.6,53.3,58.7,67.9,77.8,75.9,75,87.1
fix,Action Words,10.3,1.5,11.3,24.7,25.5,26.4,36.1,56.5,52.3,66.7,75.6,70.4,79.3,76.7,87.1
